"Run.ID","Run.Group","Code","Type","Unit","Value"
1,"gfgloucester","gfgloucester","sweptarea","scalar",100
2,"gfnewbedford","gfnewbedford","sweptarea","scalar",100
3,"gfpointjudith","gfpointjudith","sweptarea","scalar",100
4,"gfboston","gfboston","sweptarea","scalar",100
5,"gfmontauk","gfmontauk","sweptarea","scalar",100
6,"gfportland","gfportland","sweptarea","scalar",100
7,"gfportsmouth","gfportsmouth","sweptarea","scalar",100
8,"gfchatham","gfchatham","sweptarea","scalar",100
9,"gfother","gfother","sweptarea","scalar",100
10,"gfgloucester","gfgloucester","sweptarea","scalar",150
11,"gfnewbedford","gfnewbedford","sweptarea","scalar",150
12,"gfpointjudith","gfpointjudith","sweptarea","scalar",150
13,"gfboston","gfboston","sweptarea","scalar",150
14,"gfmontauk","gfmontauk","sweptarea","scalar",150
15,"gfportland","gfportland","sweptarea","scalar",150
16,"gfportsmouth","gfportsmouth","sweptarea","scalar",150
17,"gfchatham","gfchatham","sweptarea","scalar",150
18,"gfother","gfother","sweptarea","scalar",150
19,"gfgloucester","gfgloucester","sweptarea","scalar",300
20,"gfnewbedford","gfnewbedford","sweptarea","scalar",300
21,"gfpointjudith","gfpointjudith","sweptarea","scalar",300
22,"gfboston","gfboston","sweptarea","scalar",300
23,"gfmontauk","gfmontauk","sweptarea","scalar",300
24,"gfportland","gfportland","sweptarea","scalar",300
25,"gfportsmouth","gfportsmouth","sweptarea","scalar",300
26,"gfchatham","gfchatham","sweptarea","scalar",300
27,"gfother","gfother","sweptarea","scalar",300
28,"gfgloucester","gfgloucester","sweptarea","scalar",500
29,"gfnewbedford","gfnewbedford","sweptarea","scalar",500
30,"gfpointjudith","gfpointjudith","sweptarea","scalar",500
31,"gfboston","gfboston","sweptarea","scalar",500
32,"gfmontauk","gfmontauk","sweptarea","scalar",500
33,"gfportland","gfportland","sweptarea","scalar",500
34,"gfportsmouth","gfportsmouth","sweptarea","scalar",500
35,"gfchatham","gfchatham","sweptarea","scalar",500
36,"gfother","gfother","sweptarea","scalar",500
37,"gfgloucester","gfgloucester","sweptarea","scalar",750
38,"gfnewbedford","gfnewbedford","sweptarea","scalar",750
39,"gfpointjudith","gfpointjudith","sweptarea","scalar",750
40,"gfboston","gfboston","sweptarea","scalar",750
41,"gfmontauk","gfmontauk","sweptarea","scalar",750
42,"gfportland","gfportland","sweptarea","scalar",750
43,"gfportsmouth","gfportsmouth","sweptarea","scalar",750
44,"gfchatham","gfchatham","sweptarea","scalar",750
45,"gfother","gfother","sweptarea","scalar",750
46,"gfgloucester","gfgloucester","sweptarea","scalar",1000
47,"gfnewbedford","gfnewbedford","sweptarea","scalar",1000
48,"gfpointjudith","gfpointjudith","sweptarea","scalar",1000
49,"gfboston","gfboston","sweptarea","scalar",1000
50,"gfmontauk","gfmontauk","sweptarea","scalar",1000
51,"gfportland","gfportland","sweptarea","scalar",1000
52,"gfportsmouth","gfportsmouth","sweptarea","scalar",1000
53,"gfchatham","gfchatham","sweptarea","scalar",1000
54,"gfother","gfother","sweptarea","scalar",1000
55,"gfgloucester","COD:gfgloucester","q","value",0.5
56,"gfgloucester","HAD:gfgloucester","q","value",0.5
57,"gfgloucester","HAL:gfgloucester","q","value",0.5
58,"gfgloucester","OPT:gfgloucester","q","value",0.5
59,"gfgloucester","PLA:gfgloucester","q","value",0.5
60,"gfgloucester","POL:gfgloucester","q","value",0.5
61,"gfgloucester","RED:gfgloucester","q","value",0.5
62,"gfgloucester","WHK:gfgloucester","q","value",0.5
63,"gfgloucester","WIF:gfgloucester","q","value",0.5
64,"gfgloucester","WOL:gfgloucester","q","value",0.5
65,"gfgloucester","WPF:gfgloucester","q","value",0.5
66,"gfgloucester","WTF:gfgloucester","q","value",0.5
67,"gfgloucester","YTF:gfgloucester","q","value",0.5
68,"gfnewbedford","COD:gfnewbedford","q","value",0.5
69,"gfnewbedford","HAD:gfnewbedford","q","value",0.5
70,"gfnewbedford","HAL:gfnewbedford","q","value",0.5
71,"gfnewbedford","OPT:gfnewbedford","q","value",0.5
72,"gfnewbedford","PLA:gfnewbedford","q","value",0.5
73,"gfnewbedford","POL:gfnewbedford","q","value",0.5
74,"gfnewbedford","RED:gfnewbedford","q","value",0.5
75,"gfnewbedford","WHK:gfnewbedford","q","value",0.5
76,"gfnewbedford","WIF:gfnewbedford","q","value",0.5
77,"gfnewbedford","WOL:gfnewbedford","q","value",0.5
78,"gfnewbedford","WPF:gfnewbedford","q","value",0.5
79,"gfnewbedford","WTF:gfnewbedford","q","value",0.5
80,"gfnewbedford","YTF:gfnewbedford","q","value",0.5
81,"gfpointjudith","COD:gfpointjudith","q","value",0.5
82,"gfpointjudith","HAD:gfpointjudith","q","value",0.5
83,"gfpointjudith","HAL:gfpointjudith","q","value",0.5
84,"gfpointjudith","OPT:gfpointjudith","q","value",0.5
85,"gfpointjudith","PLA:gfpointjudith","q","value",0.5
86,"gfpointjudith","POL:gfpointjudith","q","value",0.5
87,"gfpointjudith","RED:gfpointjudith","q","value",0.5
88,"gfpointjudith","WHK:gfpointjudith","q","value",0.5
89,"gfpointjudith","WIF:gfpointjudith","q","value",0.5
90,"gfpointjudith","WOL:gfpointjudith","q","value",0.5
91,"gfpointjudith","WPF:gfpointjudith","q","value",0.5
92,"gfpointjudith","WTF:gfpointjudith","q","value",0.5
93,"gfpointjudith","YTF:gfpointjudith","q","value",0.5
94,"gfboston","COD:gfboston","q","value",0.5
95,"gfboston","HAD:gfboston","q","value",0.5
96,"gfboston","HAL:gfboston","q","value",0.5
97,"gfboston","OPT:gfboston","q","value",0.5
98,"gfboston","PLA:gfboston","q","value",0.5
99,"gfboston","POL:gfboston","q","value",0.5
100,"gfboston","RED:gfboston","q","value",0.5
101,"gfboston","WHK:gfboston","q","value",0.5
102,"gfboston","WIF:gfboston","q","value",0.5
103,"gfboston","WOL:gfboston","q","value",0.5
104,"gfboston","WPF:gfboston","q","value",0.5
105,"gfboston","WTF:gfboston","q","value",0.5
106,"gfboston","YTF:gfboston","q","value",0.5
107,"gfmontauk","COD:gfmontauk","q","value",0.5
108,"gfmontauk","HAD:gfmontauk","q","value",0.5
109,"gfmontauk","HAL:gfmontauk","q","value",0.5
110,"gfmontauk","OPT:gfmontauk","q","value",0.5
111,"gfmontauk","PLA:gfmontauk","q","value",0.5
112,"gfmontauk","POL:gfmontauk","q","value",0.5
113,"gfmontauk","RED:gfmontauk","q","value",0.5
114,"gfmontauk","WHK:gfmontauk","q","value",0.5
115,"gfmontauk","WIF:gfmontauk","q","value",0.5
116,"gfmontauk","WOL:gfmontauk","q","value",0.5
117,"gfmontauk","WPF:gfmontauk","q","value",0.5
118,"gfmontauk","WTF:gfmontauk","q","value",0.5
119,"gfmontauk","YTF:gfmontauk","q","value",0.5
120,"gfportland","COD:gfportland","q","value",0.5
121,"gfportland","HAD:gfportland","q","value",0.5
122,"gfportland","HAL:gfportland","q","value",0.5
123,"gfportland","OPT:gfportland","q","value",0.5
124,"gfportland","PLA:gfportland","q","value",0.5
125,"gfportland","POL:gfportland","q","value",0.5
126,"gfportland","RED:gfportland","q","value",0.5
127,"gfportland","WHK:gfportland","q","value",0.5
128,"gfportland","WIF:gfportland","q","value",0.5
129,"gfportland","WOL:gfportland","q","value",0.5
130,"gfportland","WPF:gfportland","q","value",0.5
131,"gfportland","WTF:gfportland","q","value",0.5
132,"gfportland","YTF:gfportland","q","value",0.5
133,"gfportsmouth","COD:gfportsmouth","q","value",0.5
134,"gfportsmouth","HAD:gfportsmouth","q","value",0.5
135,"gfportsmouth","HAL:gfportsmouth","q","value",0.5
136,"gfportsmouth","OPT:gfportsmouth","q","value",0.5
137,"gfportsmouth","PLA:gfportsmouth","q","value",0.5
138,"gfportsmouth","POL:gfportsmouth","q","value",0.5
139,"gfportsmouth","RED:gfportsmouth","q","value",0.5
140,"gfportsmouth","WHK:gfportsmouth","q","value",0.5
141,"gfportsmouth","WIF:gfportsmouth","q","value",0.5
142,"gfportsmouth","WOL:gfportsmouth","q","value",0.5
143,"gfportsmouth","WPF:gfportsmouth","q","value",0.5
144,"gfportsmouth","WTF:gfportsmouth","q","value",0.5
145,"gfportsmouth","YTF:gfportsmouth","q","value",0.5
146,"gfchatham","COD:gfchatham","q","value",0.5
147,"gfchatham","HAD:gfchatham","q","value",0.5
148,"gfchatham","HAL:gfchatham","q","value",0.5
149,"gfchatham","OPT:gfchatham","q","value",0.5
150,"gfchatham","PLA:gfchatham","q","value",0.5
151,"gfchatham","POL:gfchatham","q","value",0.5
152,"gfchatham","RED:gfchatham","q","value",0.5
153,"gfchatham","WHK:gfchatham","q","value",0.5
154,"gfchatham","WIF:gfchatham","q","value",0.5
155,"gfchatham","WOL:gfchatham","q","value",0.5
156,"gfchatham","WPF:gfchatham","q","value",0.5
157,"gfchatham","WTF:gfchatham","q","value",0.5
158,"gfchatham","YTF:gfchatham","q","value",0.5
159,"gfother","COD:gfother","q","value",0.5
160,"gfother","HAD:gfother","q","value",0.5
161,"gfother","HAL:gfother","q","value",0.5
162,"gfother","OPT:gfother","q","value",0.5
163,"gfother","PLA:gfother","q","value",0.5
164,"gfother","POL:gfother","q","value",0.5
165,"gfother","RED:gfother","q","value",0.5
166,"gfother","WHK:gfother","q","value",0.5
167,"gfother","WIF:gfother","q","value",0.5
168,"gfother","WOL:gfother","q","value",0.5
169,"gfother","WPF:gfother","q","value",0.5
170,"gfother","WTF:gfother","q","value",0.5
171,"gfother","YTF:gfother","q","value",0.5
172,"gfgloucester","COD:gfgloucester","q","value",0.75
173,"gfgloucester","HAD:gfgloucester","q","value",0.75
174,"gfgloucester","HAL:gfgloucester","q","value",0.75
175,"gfgloucester","OPT:gfgloucester","q","value",0.75
176,"gfgloucester","PLA:gfgloucester","q","value",0.75
177,"gfgloucester","POL:gfgloucester","q","value",0.75
178,"gfgloucester","RED:gfgloucester","q","value",0.75
179,"gfgloucester","WHK:gfgloucester","q","value",0.75
180,"gfgloucester","WIF:gfgloucester","q","value",0.75
181,"gfgloucester","WOL:gfgloucester","q","value",0.75
182,"gfgloucester","WPF:gfgloucester","q","value",0.75
183,"gfgloucester","WTF:gfgloucester","q","value",0.75
184,"gfgloucester","YTF:gfgloucester","q","value",0.75
185,"gfnewbedford","COD:gfnewbedford","q","value",0.75
186,"gfnewbedford","HAD:gfnewbedford","q","value",0.75
187,"gfnewbedford","HAL:gfnewbedford","q","value",0.75
188,"gfnewbedford","OPT:gfnewbedford","q","value",0.75
189,"gfnewbedford","PLA:gfnewbedford","q","value",0.75
190,"gfnewbedford","POL:gfnewbedford","q","value",0.75
191,"gfnewbedford","RED:gfnewbedford","q","value",0.75
192,"gfnewbedford","WHK:gfnewbedford","q","value",0.75
193,"gfnewbedford","WIF:gfnewbedford","q","value",0.75
194,"gfnewbedford","WOL:gfnewbedford","q","value",0.75
195,"gfnewbedford","WPF:gfnewbedford","q","value",0.75
196,"gfnewbedford","WTF:gfnewbedford","q","value",0.75
197,"gfnewbedford","YTF:gfnewbedford","q","value",0.75
198,"gfpointjudith","COD:gfpointjudith","q","value",0.75
199,"gfpointjudith","HAD:gfpointjudith","q","value",0.75
200,"gfpointjudith","HAL:gfpointjudith","q","value",0.75
201,"gfpointjudith","OPT:gfpointjudith","q","value",0.75
202,"gfpointjudith","PLA:gfpointjudith","q","value",0.75
203,"gfpointjudith","POL:gfpointjudith","q","value",0.75
204,"gfpointjudith","RED:gfpointjudith","q","value",0.75
205,"gfpointjudith","WHK:gfpointjudith","q","value",0.75
206,"gfpointjudith","WIF:gfpointjudith","q","value",0.75
207,"gfpointjudith","WOL:gfpointjudith","q","value",0.75
208,"gfpointjudith","WPF:gfpointjudith","q","value",0.75
209,"gfpointjudith","WTF:gfpointjudith","q","value",0.75
210,"gfpointjudith","YTF:gfpointjudith","q","value",0.75
211,"gfboston","COD:gfboston","q","value",0.75
212,"gfboston","HAD:gfboston","q","value",0.75
213,"gfboston","HAL:gfboston","q","value",0.75
214,"gfboston","OPT:gfboston","q","value",0.75
215,"gfboston","PLA:gfboston","q","value",0.75
216,"gfboston","POL:gfboston","q","value",0.75
217,"gfboston","RED:gfboston","q","value",0.75
